goos: linux
goarch: amd64
pkg: github.com/diegommm/runes
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
                                                                                                          │ results-bytes-strings-vs-is-strategy.txt │
                                                                                                          │                  sec/op                  │
IsInSetFunc/[len=65_min=32_span=64_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=65_min=32_span=64_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                           0.000 ± 0%
IsInSetFunc/[len=65_min=32_span=64_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=65_min=32_span=64_runtime]_ASCII/isStrategy-8                                                                          0.000 ± 0%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                       0.000 ± 0%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                     0.000 ± 0%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                      0.000 ± 0%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                    0.000 ± 0%
IsInSetFunc/[len=65_min=209_span=64_runtime]_Non-ASCII/isStrategy-8                                                                     0.000 ± 0%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/bytes.ContainsAny-8                                                           0.000 ± 0%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/strings.ContainsAny-8                                                         0.000 ± 0%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/bytes.ContainsRune-8                                                          0.000 ± 0%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/stdlib/strings.ContainsRune-8                                                        0.000 ± 0%
IsInSetFunc/[len=125_min=0_span=126_runtime]_ASCII/isStrategy-8                                                                         0.000 ± 0%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     0.000 ± 0%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   0.000 ± 0%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    0.000 ± 0%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  0.000 ± 0%
IsInSetFunc/[len=127_min=209_span=126_runtime]_Non-ASCII/isStrategy-8                                                                   0.000 ± 0%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/bytes.ContainsAny-8                                                          0.000 ± 0%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/strings.ContainsAny-8                                                        0.000 ± 0%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/bytes.ContainsRune-8                                                         0.000 ± 0%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/stdlib/strings.ContainsRune-8                                                       0.000 ± 0%
IsInSetFunc/[len=126_min=0_span=127_runtime]_ASCII+/isStrategy-8                                                                        0.000 ± 0%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/bytes.ContainsAny-8                                                     0.000 ± 0%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/strings.ContainsAny-8                                                   0.000 ± 0%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/bytes.ContainsRune-8                                                    0.000 ± 0%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/stdlib/strings.ContainsRune-8                                                  0.000 ± 0%
IsInSetFunc/[len=128_min=209_span=127_runtime]_Non-ASCII/isStrategy-8                                                                   0.000 ± 0%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/bytes.ContainsAny-8                                                        0.000 ± 0%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/strings.ContainsAny-8                                                      0.000 ± 0%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/bytes.ContainsRune-8                                                       0.000 ± 0%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/stdlib/strings.ContainsRune-8                                                     0.000 ± 0%
IsInSetFunc/[len=256_min=1024_span=255_runtime]_Other/isStrategy-8                                                                      0.000 ± 0%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/bytes.ContainsAny-8                                                        0.000 ± 0%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/strings.ContainsAny-8                                                      0.000 ± 0%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/bytes.ContainsRune-8                                                       0.000 ± 0%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/stdlib/strings.ContainsRune-8                                                     0.000 ± 0%
IsInSetFunc/[len=512_min=1024_span=511_runtime]_Other/isStrategy-8                                                                      0.000 ± 0%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/bytes.ContainsAny-8                                                      0.000 ± 0%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/strings.ContainsAny-8                                                    0.000 ± 0%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/bytes.ContainsRune-8                                                     0.000 ± 0%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/stdlib/strings.ContainsRune-8                                                   0.000 ± 0%
IsInSetFunc/[len=1025_min=1024_span=1024_runtime]_Other/isStrategy-8                                                                    0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/bytes.ContainsAny-8                                  0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/strings.ContainsAny-8                                0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/bytes.ContainsRune-8                                 0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/stdlib/strings.ContainsRune-8                               0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=1114111_runtime]_Full_Unicode_span,_few_items/isStrategy-8                                                0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/bytes.ContainsAny-8                                   0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/strings.ContainsAny-8                                 0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/bytes.ContainsRune-8                                  0.000 ± 0%
IsInSetFunc/[len=4_min=0_span=557055_runtime]_Half_Unicode_span,_few_items/stdlib/strings.ContainsRune-8                                0.000 ± 0%
